file,code,product_id,status,public_main_url,public_thumb_url,message
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0182 LECITINA DI SOIA LIQUIDO 200G.png,EN0182,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0183 OLIO DI SOIA LIQUIDO 500G.png,EN0183,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0184 LECITINA DI SOIA LIQUIDO 500G.png,EN0184,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0185 ORTICA SPRAY 500ML.png,EN0185,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0186 ORTICA LIQUIDO 500G.png,EN0186,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0187 OLIO DI LINO SPRAY 750ML.png,EN0187,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0188 LECITINA DI SOIA 750ML.png,EN0188,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0189 OLIO DI SOIA SPRAY 750ML.png,EN0189,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0190 PROPOLI SPRAY 500ML.png,EN0190,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0191 PROPOLI LIQUIDO 500G.png,EN0191,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0192 PROPOLI SPRAY 750ML.png,EN0192,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0193 PROPOLI LIQUIDO 1KG.png,EN0193,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0194 LECITINA DI SOIA LIQUIDO 1KG.png,EN0194,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0195 EQUISETO LIQUIDO 200G.png,EN0195,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0196 EQUISETO LIQUIDO 500G.png,EN0196,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0197 OLIO DI SOIA LIQUIDO 1KG.png,EN0197,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0198 BICARBONATO DI SODIO 500G.png,EN0198,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0199 BICARBONATO DI SODIO SPRAY 750ML.png,EN0199,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0200 OLIO DI LINO LIQUIDO 1KG.png,EN0200,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0201 BICARBONATO DI SODIO 1KG.png,EN0201,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0202 OLIO DI NEEM LIQUIDO 1KG.png,EN0202,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0203 CONCIME POL NEEM GRANULARE 800G.png,EN0203,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0204 CONCIME POL NEEM GRANULARE 750G.png,EN0204,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0205 CORROBORANTE CAOLINO POLVERE 900G.png,EN0205,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0206 CAOLINO POLVERE 2KG.png,EN0206,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0207 CORROBORANTE ZEOLITE POLVERE 1KG.png,EN0207,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0208 CORROBORANTE ZEOLITE POLVERE 2,5KG.png",EN0208,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0211 POTENZIATORE ZEOLITE+RAME 1KG.png,EN0211,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0212 ZEOLITE+RAME POTENZIATORE 2,5KG.png",EN0212,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0214 CONCIME RAME 20 GRANULARE 1KG.png,EN0214,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0216 CONCIME RAME 30 GRANULARE 1KG.png,EN0216,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0218 CONCIME ZOLFO 80 GRANULARE 1KG.png,EN0218,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0220 CONTROLLER POLVERE DI ROCCIA 1KG.png,EN0220,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0221 CONTROLLER POLVERE DI ROCCIA 2,5KG.png",EN0221,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0222 CONTROLLER FARINA DI BASALTO 1KG.png,EN0222,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0223 CONTROLLER FARINA DI BASALTO 2,5KG.png",EN0223,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0224 CONTROLLER BICARBOMED POLVERE 1KG.png,EN0224,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0225 CONTROLLER BICARBOMED POLVERE 2,5KG.png",EN0225,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0226 CONTROLLER POTASSICO POLVERE 1KG.png,EN0226,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0227 CONTROLLER POTASSICO POLVERE 2,5KG.png",EN0227,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0228 CONTROLLER TANNINO LIQUIDO 1KG.png,EN0228,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0229 CONTROLLER TANNINO LIQUIDO 500G.png,EN0229,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0230 CONCIME FRAGOLA GRANULARE 1KG.png,EN0230,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0231 CONCIME KIWI GRANULARE 1KG.png,EN0231,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0232 CONCIME FRUTTI DI BOSCO GRANULARE 1KG.png,EN0232,,unmatched,,,no product with this code
